,Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,HopeFiveYears,AssessBenefits1,AssessBenefits2,AssessBenefits3,AssessBenefits4,AssessBenefits5,AssessBenefits6,AssessBenefits7,AssessBenefits8,AssessBenefits9,AssessBenefits10,AssessBenefits11,Salary,ConvertedSalary,CurrencySymbol,CommunicationTools,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,HackathonReasons,AgreeDisagree1,AgreeDisagree2,AgreeDisagree3,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,IDE,OperatingSystem,NumberMonitors,EthicsChoice,EthicsReport,EthicsResponsible,EthicalImplications,WakeTime,HoursComputer,HoursOutside,SkipMeals,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Age,Dependents,LnConvertedSalary
179,272,Yes,No,Canada,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Back-end developer;Data or business analyst;Database administrator;DevOps specialist;Full-stack developer;Mobile developer,9-11 years,9-11 years,Slightly satisfied,Extremely satisfied,Working as a founder or co-founder of my own company,1.0,7.0,4.0,11.0,5.0,8.0,3.0,9.0,10.0,6.0,2.0,90000,72469.0,CAD,Confluence;Google Hangouts/Chat;Jira,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",Immediately after graduating,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To build my professional network;To help me find new job opportunities;To win prizes or cash awards;Because I find it enjoyable",5,1,5,Java;JavaScript;Lua;PHP;Python;Kotlin;HTML;CSS;Bash/Shell,C;C++;Go;Java;JavaScript;Julia;Lua;PHP;Python;R;Kotlin;HTML;CSS;Bash/Shell,Memcached;Elasticsearch,Cassandra;MongoDB;Amazon DynamoDB;Apache HBase;Apache Hive;Memcached;Google BigQuery;Google Cloud Storage;Neo4j;Elasticsearch,Android;Linux,Android;Arduino;AWS;Drupal;Google Home;Linux;Raspberry Pi,Node.js;TensorFlow,Angular;Hadoop;Node.js;React;Spark;Cordova;Xamarin;Spring;TensorFlow;Torch/PyTorch,Android Studio;IntelliJ;IPython / Jupyter;PHPStorm;PyCharm;RStudio;RubyMine;Sublime Text,Linux-based,3,Depends on what it is,Depends on what it is,Upper management at the company/organization,Yes,Between 7:01 - 8:00 AM,9 - 12 hours,30 - 59 minutes,1 - 2 times per week,I don't typically exercise,Male,Straight or heterosexual,"Professional degree (JD, MD, etc.)",White or of European descent,25 - 34 years old,No,11.19091416319482
572,799,Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A humanities discipline (ex. literature, history, philosophy)",Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,0-2 years,0-2 years,Slightly dissatisfied,Moderately satisfied,Working in a different or more specialized technical role than the one I'm in now,1.0,4.0,2.0,10.0,9.0,3.0,8.0,7.0,11.0,5.0,6.0,63000,63000.0,USD,"Slack;Other chat system (IRC, proprietary software, etc.);Other wiki tool (Github, Google Sites, proprietary software, etc.)","Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Tapping your network of friends, family, and peers versed in the technology",Immediately after graduating,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To build my professional network;To help me find new job opportunities;To win prizes or cash awards;Because I find it enjoyable",3,2,3,C#;Java;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,C;C++;C#;Go;Java;JavaScript;Lua;Python;Rust;SQL;Swift;TypeScript;Kotlin;HTML;CSS;Bash/Shell,SQL Server;PostgreSQL,MongoDB;Redis;PostgreSQL;Elasticsearch,Heroku;WordPress;Firebase,Amazon Echo;Android;AWS;Gaming console;Google Cloud Platform/App Engine;Google Home;Heroku;IBM Cloud or Watson;Raspberry Pi;Firebase,Angular;.NET Core;Node.js;React;Spring,Angular;Node.js;React,Atom;Notepad++;Visual Studio,Windows,2,Depends on what it is,Depends on what it is,The person who came up with the idea,Yes,Between 5:00 - 6:00 AM,5 - 8 hours,1 - 2 hours,1 - 2 times per week,I don't typically exercise,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,25 - 34 years old,No,11.05089000537367
1070,1499,Yes,Yes,United Kingdom,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,Back-end developer,24-26 years,21-23 years,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Working in a different or more specialized technical role than the one I'm in now,2.0,9.0,5.0,4.0,8.0,3.0,6.0,10.0,11.0,7.0,1.0,70000,97233.0,GBP,Confluence;Slack,"Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","A book or e-book from O’Reilly, Apress, or a similar publisher;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",I already had a full-time job as a developer when I began the program,Because I find it enjoyable,4,1,4,C#;F#;JavaScript;HTML;CSS,C#;F#;JavaScript;Python;TypeScript;HTML;CSS,"MongoDB;Redis;SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)","MongoDB;Redis;SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Azure;Windows Desktop or Server,Azure;Windows Desktop or Server,Angular,.NET Core;React,Sublime Text;Visual Studio;Visual Studio Code,Windows,3,No,Depends on what it is,Upper management at the company/organization,Yes,Between 6:01 - 7:00 AM,5 - 8 hours,30 - 59 minutes,Never,1 - 2 times per week,Male,Straight or heterosexual,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",White or of European descent,45 - 54 years old,No,11.48486543900219
1167,1640,Yes,Yes,Australia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Back-end developer;Full-stack developer,15-17 years,12-14 years,Extremely satisfied,Extremely satisfied,Working in a different or more specialized technical role than the one I'm in now,1.0,3.0,9.0,5.0,7.0,11.0,2.0,6.0,4.0,10.0,8.0,145000,115961.0,AUD,"Confluence;Slack;Trello;Other wiki tool (Github, Google Sites, proprietary software, etc.)","Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",Six months to a year,To improve my general technical skills or programming ability;Because I find it enjoyable,5,2,4,C#;Go;Java;JavaScript;Scala;SQL;HTML;CSS;Bash/Shell,C#;F#;Go;JavaScript;Scala;SQL;HTML;CSS;Bash/Shell,Cassandra;SQL Server;MySQL;Amazon Redshift,Cassandra;Redis;SQL Server;PostgreSQL;Amazon DynamoDB;Amazon Redshift;Amazon RDS/Aurora;Elasticsearch,AWS;Drupal;Serverless,AWS;Serverless;Firebase,.NET Core;Node.js;React;Spark,Angular;.NET Core;Node.js;React;Spark;TensorFlow,IntelliJ;Sublime Text;Visual Studio;Visual Studio Code,Windows,2,No,"Yes, and publicly",The person who came up with the idea,Yes,Between 7:01 - 8:00 AM,9 - 12 hours,1 - 2 hours,Never,Daily or almost every day,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Middle Eastern,35 - 44 years old,Yes,11.66100920666174
1384,1936,Yes,Yes,Australia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",Back-end developer;DevOps specialist;Full-stack developer,15-17 years,9-11 years,Moderately dissatisfied,Moderately dissatisfied,Working as a founder or co-founder of my own company,2.0,6.0,3.0,5.0,11.0,7.0,10.0,9.0,1.0,8.0,4.0,153000,122359.0,AUD,Confluence;Slack,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software",The official documentation and/or standards for the technology;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;The technology’s online help system,I already had a full-time job as a developer when I began the program,To improve my general technical skills or programming ability;Because I find it enjoyable,4,3,4,Go;JavaScript;SQL,Go,Cassandra;MongoDB;Redis;PostgreSQL;Amazon DynamoDB;Elasticsearch,MongoDB;Redis;PostgreSQL;Amazon DynamoDB;Elasticsearch,AWS,AWS;Google Cloud Platform/App Engine;Serverless,Node.js;React,React;TensorFlow,Vim;Visual Studio Code,MacOS,1,No,"Yes, and publicly",Upper management at the company/organization,Yes,Between 7:01 - 8:00 AM,9 - 12 hours,3 - 4 hours,Never,3 - 4 times per week,Male,Straight or heterosexual,Some college/university study without earning a degree,White or of European descent,25 - 34 years old,Yes,11.714714625626018
1505,2103,Yes,Yes,India,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","C-suite executive (CEO, CTO, etc.);Front-end developer;Full-stack developer;Product manager;QA or test developer",6-8 years,6-8 years,Slightly dissatisfied,Moderately satisfied,Working as a founder or co-founder of my own company,2.0,1.0,10.0,7.0,9.0,11.0,3.0,4.0,8.0,5.0,6.0,130000,24420.0,INR,"Slack;Other wiki tool (Github, Google Sites, proprietary software, etc.)","Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",I already had a full-time job as a developer when I began the program,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To build my professional network;To win prizes or cash awards;Because I find it enjoyable",5,4,3,C#;JavaScript;PHP;Python;SQL;TypeScript;HTML;CSS,C++;C#;F#;JavaScript;Python;R;SQL;Swift;TypeScript;Kotlin;HTML;CSS,"MongoDB;Redis;SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)","MongoDB;Redis;SQL Server;MySQL;Microsoft Azure (Tables, CosmosDB, SQL, etc);Neo4j",Android;Arduino;Azure;iOS;Raspberry Pi;Windows Desktop or Server,Amazon Echo;Android;Arduino;AWS;Azure;iOS;Raspberry Pi;Serverless;Windows Desktop or Server;Firebase,Angular;.NET Core;Node.js;Cordova,Angular;.NET Core;Node.js;Cordova;Xamarin,Notepad++;Visual Studio;Visual Studio Code,Windows,2,Yes,"Yes, but only within the company",Upper management at the company/organization,Yes,Between 10:01 - 11:00 AM,9 - 12 hours,1 - 2 hours,Daily or almost every day,I don't typically exercise,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",South Asian,25 - 34 years old,No,10.103157747664696
1623,2272,Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A business discipline (ex. accounting, finance, marketing)",Front-end developer,0-2 years,0-2 years,Extremely satisfied,Extremely satisfied,Working in a different or more specialized technical role than the one I'm in now,1.0,3.0,2.0,10.0,6.0,4.0,7.0,8.0,11.0,9.0,5.0,80000,80000.0,USD,"Confluence;Jira;Slack;Other wiki tool (Github, Google Sites, proprietary software, etc.)","Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow,Immediately after graduating,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To win prizes or cash awards",4,4,3,JavaScript;SQL;HTML;CSS,Java;JavaScript;Python;Ruby;HTML;CSS,MongoDB;MySQL;PostgreSQL;SQLite,MongoDB,Heroku;Mac OS;SharePoint;WordPress;Firebase,Apple Watch or Apple TV;Mac OS,Angular;Node.js;React,Node.js;React,Visual Studio Code,MacOS,3,No,"Yes, but only within the company",Upper management at the company/organization,Yes,Between 5:00 - 6:00 AM,5 - 8 hours,30 - 59 minutes,Never,Daily or almost every day,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,25 - 34 years old,No,11.289781913656018
1688,2370,Yes,No,France,No,Employed full-time,Some college/university study without earning a degree,Mathematics or statistics,Back-end developer;Designer;Front-end developer;Full-stack developer;Mobile developer,0-2 years,0-2 years,Moderately satisfied,Extremely dissatisfied,Working as a founder or co-founder of my own company,1.0,2.0,4.0,11.0,10.0,5.0,9.0,3.0,8.0,6.0,7.0,1150,16884.0,EUR,"Slack;Trello;Other wiki tool (Github, Google Sites, proprietary software, etc.)","Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Pre-scheduled tutoring or mentoring sessions with a friend or colleague",Less than a month,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;Because I find it enjoyable",5,2,3,C++;JavaScript;PHP;Ruby;SQL;HTML;CSS;Bash/Shell,C#;CoffeeScript;Java;Python;TypeScript,"Redis;MySQL;PostgreSQL;SQLite;Oracle;MariaDB;Microsoft Azure (Tables, CosmosDB, SQL, etc)",MongoDB;Elasticsearch,Android;AWS;Azure;Heroku;iOS;Windows Desktop or Server;Windows Phone;WordPress;Firebase,Google Home;Linux;Raspberry Pi,Node.js,Angular;React,Visual Studio Code,Windows,2,No,Depends on what it is,The person who came up with the idea,Yes,Between 7:01 - 8:00 AM,9 - 12 hours,3 - 4 hours,Never,1 - 2 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,18 - 24 years old,No,9.734121706902389
2051,2873,Yes,Yes,Philippines,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",Back-end developer;Engineering manager;Front-end developer;Full-stack developer,9-11 years,6-8 years,Moderately satisfied,Extremely satisfied,Working as a founder or co-founder of my own company,1.0,2.0,4.0,8.0,9.0,6.0,10.0,3.0,7.0,11.0,5.0,130000,30720.0,PHP,"Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack;Other wiki tool (Github, Google Sites, proprietary software, etc.)","Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;The technology’s online help system",Four to six months,"To improve my knowledge of a specific programming language, framework, or other technology;To help me find new job opportunities",5,2,2,JavaScript;Ruby;HTML;CSS,JavaScript;Ruby;HTML;CSS,MySQL;PostgreSQL;SQLite,PostgreSQL;Amazon RDS/Aurora,AWS;Heroku,AWS;Heroku;SharePoint,React,React,Vim;Visual Studio Code,MacOS,1,No,Depends on what it is,The person who came up with the idea,Yes,Between 7:01 - 8:00 AM,Over 12 hours,3 - 4 hours,Never,I don't typically exercise,Male,Straight or heterosexual,Some college/university study without earning a degree,East Asian;South Asian,25 - 34 years old,No,10.332669187261608
2278,3225,Yes,No,Germany,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Game or graphics developer,12-14 years,6-8 years,Moderately satisfied,Slightly satisfied,Working as an engineering manager or other functional manager,2.0,7.0,1.0,5.0,11.0,3.0,8.0,9.0,6.0,4.0,10.0,51000,62418.0,EUR,Confluence;Google Hangouts/Chat;HipChat;Jira,"Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software",The official documentation and/or standards for the technology;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;The technology’s online help system,I already had a full-time job as a developer when I began the program,Because I find it enjoyable,4,2,3,C;C#;Groovy;Java;Objective-C;Rust;Scala;SQL;TypeScript;VBA;Kotlin;HTML;CSS;Bash/Shell,C;Rust;Kotlin,Redis;MySQL;PostgreSQL;MariaDB;Elasticsearch,PostgreSQL,Arduino;Google Cloud Platform/App Engine;iOS;Linux;Windows Desktop or Server,Linux,Spring,Spring,IntelliJ;Visual Studio;Xcode,Windows,3,No,No,Upper management at the company/organization,Yes,Between 6:01 - 7:00 AM,1 - 4 hours,30 - 59 minutes,Never,I don't typically exercise,Male,Straight or heterosexual,Associate degree,White or of European descent,25 - 34 years old,Yes,11.041608974298951
